ceny;Kódy;;;;;;;
197||Cena Jaroslava Seiferta;61124 	|a Cena Jaroslava Seiferta (ocenění);;;;;;;
184||Nobelova cena OPRAVA UCL;65007 	|a Nobelova cena (ocenění) |7 ph117923;;;;;;;
172||Cena Franze Kafky;61124 	|a Cena Franze Kafky (ocenění);;;;;;;
160||Cena Jaroslava Seiferta OPRAVA UCL;61124 	|a Cena Jaroslava Seiferta (ocenění);;;;;;;
132||Státní cena za literaturu OPRAVA UCL;65007 	|a Státní cena za literaturu (ocenění) |7 ph891868;;;;;;;
107||Cena Josefa Jungmanna;61124 	|a Cena Josefa Jungmanna  (ocenění);;;;;;;
96||Cena Jiřího Ortena OPRAVA UCL;61127 	|a Cena Jiřího Ortena (akce) |7 ko2008434948;;;;;;;
84||Cena Karla Čapka OPRAVA UCL;61127 	|a Cena Karla Čapka (soutěž) |7 kn20111130001;;;;;;;
83||Šrámkova Sobotka OPRAVA UCL;61127|a Šrámkova Sobotka (festival) |7 ko2006325250;;;;;;;
80||Magnesia Litera (literární cena) OPRAVA UCL;61127|a Magnesia Litera (akce) |7 ko2007396129;;;;;;;
76||Nobelova cena za literaturu OPRAVA UCL;65007 	|a Nobelova cena (ocenění) |7 ph117923;;;;;;;
70||Wolkrův Prostějov OPRAVA UCL;61127|a Wolkrův Prostějov (festival) |7 kn20050510037;;;;;;;
63||Cena F. X. Šaldy;61124 	|a Cena F. X. Šaldy (ocenění);;;;;;;
61||Cena Jiřího Marka;61124 	|a Cena Jiřího Marka (ocenění);;;;;;;
57||Divadelní žatva;61124 	|a Divadelní žatva (soutěž);;;;;;;
56||Cena Ladislava Fukse;61124 	|a Cena Ladislava Fukse (ocenění);;;;;;;
51||Sjezd Svazu československých spisovatelů (4. : 1967 : Praha, Česko) OPRAVA UCL;61127|a Svaz československých spisovatelů. |b Sjezd |n (4. : |d 1967 : |c Praha, Česko) |7 olak2003164502;;;;;;;
51||Svět knihy (veletrh) (2019 : Praha, Česko);61127|a Svět knihy (veletrh) |d (2019 : |c Praha, Česko) |7 ko20191044110;;;;;;;
47||Cena Boženy Němcové;61124 |a Cena Boženy Němcové (ocenění);;;;;;;
46||Sjezd Svazu čs. spisovatelů (3. : 1963 : Praha, Česko) OPRAVA UCL;61127|a Svaz československých spisovatelů. |b Sjezd |n (3. : |d 1963 : |c Praha, Česko) |7 pna2005272458;;;;;;;
46||Sjezd československých spisovatelů (2. : 1956) OPRAVA UCL;61127|a Svaz československých spisovatelů. |b Sjezd |n (2. : |d 1956 : |c Praha, Česko) |7 olak2002158685;;;;;;;
46||Cena Ferdinanda Peroutky;61124 	|a  Cena Ferdinanda Peroutky (ocenění);;;;;;;
46||Cena Maxe Broda;61124 	|a Cena Maxe Broda (soutěž);;;;;;;
45||Magnesia Litera (literární ceny) OPRAVA UCL;61127|a Magnesia Litera (akce) |7 ko2007396129;;;;;;;
45||Mezinárodní sympozium o Juliu Fučíkovi (sympozium) (1973 : Praha, Česko) OPRAVA UCL;61124 	|a Mezinárodní sympozium o Juliu Fučíkovi (sympozium) |d (1973 : |c Praha, Česko);;;;;;;
43||Jiráskovská akce;61024|a Jiráskovská akce (projekt);;;;;;;
42||Cena Egona Hostovského OPRAVA UCL;611244 |a Cena Egona Hostovského (ocenění);;;;;;;
41||Literární cena Knižního klubu OPRAVA UCL;
61124 	|a Literární cena Knižního klubu (soutěž);;;;;;;
41||Státní cena za literaturu;65007 	|a Státní cena za literaturu (ocenění) |7 ph891868;;;;;;;
41||Sjezd Svazu českých spisovatelů (2. : 1977 : Dobříš, Česko) OPRAVA UCL;61124|a Svaz českých spisovatelů. |b Sjezd |n (2. : |d 1977 : |c Dobříš, Česko);;;;;;;
40||Magnesia Litera OPRAVA UCL;61127|a Magnesia Litera (akce) |7 ko2007396129;;;;;;;
40||Měsíc české knihy OPRAVA UCL;61124|a Měsíc české knihy (akce);;;;;;;
39||Cena Jaroslava Seiferta (literární cena) OPRAVA UCL;61124 	|a Cena Jaroslava Seiferta (ocenění);;;;;;;
38||Cena Jiřího Ortena (literární cena) OPRAVA UCL;61127 	|a Cena Jiřího Ortena (akce) |7 ko2008434948;;;;;;;
38||Sjezd KSČ (sjezd) (15.) OPRAVA UCL;61127 	|a Komunistická strana Československa. |b Sjezd |n (15. : |d 1976 : |c Praha, Česko) |7 ko2004263695;;;;;;;
38||Cena Josefa Jungmanna OPRAVA UCL;61124 	|a  Cena Josefa Jungmanna (ocenění);;;;;;;
37||Soutěž tvořivosti mládeže;;;;;;;;
37||Cena Toma Stopparda;61124 	|a  Cena Toma Stopparda (ocenění);;;;;;;
35||Literární Františkovy Lázně OPRAVA UCL;61124|a Literární Františkovy Lázně (festival);;;;;;;
35||Kniha v životě malého dítěte (17. : 1980 : Praha, Česko) OPRAVA UCL;61127 |a International Board on Books for Young People. |b Kongres |n (17. : |d 1980 : |c Praha, Česko) |7 ko2004251459;;;;;;;
33||Náprstkova cena;61124 	|a  Medaile Vojtěcha Náprstka  (ocenění);;;;;;;
33||Cena Jana Zahradníčka OPRAVA UCL;61124 	|a  Cena Jana Zahradníčka (ocenění);;;;;;;
33||Cena Františka Langera;61124|a Cena Františka Langera (soutěž);;;;;;;
32||Cena Egona Erwina Kische OPRAVA UCL;61127|a Cena Egona Ervína Kische (akce) |7 pag2013792847;;;;;;;
32||Cena Toma Stopparda OPRAVA UCL;61124 	|a  Cena Toma Stopparda (ocenění);;;;;;;
32||Cena F. X. Šaldy OPRAVA UCL;61124 |a Cena F. X. Šaldy (ocenění);;;;;;;
30||Cena Evropské unie za literaturu;65007|a European Union Prize for Literature (ocenění) |7 ph560848;;;;;;;
29||Střety národních a univerzálních modelů v české kultuře 1800-1918 (konference) (2001 : České Budějovice, Česko) OPRAVA UCL;61124 	|a Střety národních a univerzálních modelů v české kultuře 1800-1918 (konference) |d (2001 : |c České Budějovice, Česko);;;;;;;
29||Dvě dekády demokracie - Česká literatura 1989-2009 (2009 : Olomouc, Česko);;;;;;;;
28||Sjezd KSČ (sjezd) (13. : 1966 : Praha, Česko) OPRAVA UCL;61127 |a Komunistická strana Československa. |b Sjezd |n (13. : |d 1966 : |c Praha, Česko) |7 ko2004263693;;;;;;;
28||Cena Unie českých spisovatelů;61124 |a Cena Unie českých spisovatelů  (ocenění);;;;;;;
27||Konference o životě a díle Josefa Škvoreckého (2004 : Náchod, Česko);61127 |a Konference o životě a díle Josefa Škvoreckého |d (2004 : |c Praha, Česko) |7 mzk2005304635;OPRAVA PETRA, KONALO SE V NÁCHODĚ;;;;;;
27||Sjezd Svazu československých spisovatelů (sjezd) (4. : 1967 : Praha, Česko) OPRAVA UCL;61127 |a Svaz československých spisovatelů. |b Sjezd |n (4. : |d 1967 : |c Praha, Česko) |7 olak2003164502;;;;;;;
27||Překladatelská soutěž Jiřího Levého;61127 |a Překladatelská soutěž Jiřího Levého |7 av2016918311;;;;;;;
26||Mezinárodní sjezd slavistů (7. : 1973 : Varšava, Polsko) OPRAVA UCL;61124 |a Mezinárodní sjezd slavistů |n (7. : |d 1973 : |c Varšava, Polsko);;;;;;;
25||Státní cena za překladatelské dílo OPRAVA UCL;65007 |a Státní cena za překladatelské dílo (ocenění) |7 ph891869;;;;;;;
25||Cena Hanse Christiana Andersena;65007|a Cena Hanse Christiana Andersena (ocenění) |7 ph683981;;;;;;;
25||Magnesia Litera (cena) OPRAVA UCL;61127|a Magnesia Litera (akce) |7 ko2007396129;;;;;;;
25||Prix Bohemia OPRAVA UCL;61127  	|a Prix Bohemia (festival) |7 ko20201071038;;;;;;;
25||Revoluční česká a slovenská literatura 20. a 30. let a literatura sovětská (konference) (1977 : Liblice, Česko) OPRAVA UCL;61124 |a Revoluční česká a slovenská literatura 20. a 30. let a literatura sovětská (konference) |d (1973 :  |c  Liblice, Česko);;;;;;;
24||Cena Karla Havlíčka Borovského;61124 |a   Cena Karla Havlíčka Borovského (ocenění);;;;;;;
24||Tvárnice (literární cena);61124 |a Tvárnice (soutěž);;;;;;;
23||Státní ceny OPRAVA UCL;65007 	|a Státní cena za literaturu (ocenění) |7 ph891868;;;;;;;
23||Fučíkův odznak;61124 |a Fučíkův odznak (ocenění);;;;;;;
