197|Cena Jaroslava Seiferta|$$aCena Jaroslava Seiferta (ocenění)|61124
184|Nobelova cena OPRAVA UCL|$$aNobelova cena (ocenění)$$7ph117923|65007
172|Cena Franze Kafky|$$aCena Franze Kafky (ocenění)|61124
160|Cena Jaroslava Seiferta OPRAVA UCL|$$aCena Jaroslava Seiferta (ocenění)|61124
132|Státní cena za literaturu OPRAVA UCL|$$aStátní cena za literaturu (ocenění)$$7ph891868|65007
107|Cena Josefa Jungmanna|$$aCena Josefa Jungmanna (ocenění)|61124
96|Cena Jiřího Ortena OPRAVA UCL|$$aCena Jiřího Ortena (akce)$$7ko2008434948|61127
84|Cena Karla Čapka OPRAVA UCL|$$aCena Karla Čapka (soutěž)$$7kn20111130001|61127
83|Šrámkova Sobotka OPRAVA UCL|$$aŠrámkova Sobotka (festival)$$7ko2006325250|61127
80|Magnesia Litera (literární cena) OPRAVA UCL|$$aMagnesia Litera (akce)$$7ko2007396129|61127
76|Nobelova cena za literaturu OPRAVA UCL|$$aNobelova cena (ocenění)$$7ph117923|65007
70|Wolkrův Prostějov OPRAVA UCL|$$aWolkrův Prostějov (festival)$$7kn20050510037|61127
63|Cena F. X. Šaldy|$$aCena F. X. Šaldy (ocenění)|61124
61|Cena Jiřího Marka|$$aCena Jiřího Marka (ocenění)|61124
57|Divadelní žatva|$$aDivadelní žatva (soutěž)|61124
56|Cena Ladislava Fukse|$$aCena Ladislava Fukse (ocenění)|61124
51|Svět knihy (veletrh) (2019 : Praha, Česko)|$$aSvět knihy (veletrh)$$d(2019 :$$cPraha, Česko)$$7ko20191044110|61127
51|Sjezd Svazu československých spisovatelů (4. : 1967 : Praha, Česko) OPRAVA UCL|$$aSvaz československých spisovatelů.$$bSjezd$$n(4. :$$d1967 :$$cPraha, Česko)$$7olak2003164502|61127
47|Cena Boženy Němcové|$$aCena Boženy Němcové (ocenění)|61124
46|Sjezd Svazu čs. spisovatelů (3. : 1963 : Praha, Česko) OPRAVA UCL|$$aSvaz československých spisovatelů.$$bSjezd$$n(3. :$$d1963 :$$cPraha, Česko)$$7pna2005272458|61127
46|Sjezd československých spisovatelů (2. : 1956) OPRAVA UCL|$$aSvaz československých spisovatelů.$$bSjezd$$n(2. :$$d1956 :$$cPraha, Česko)$$7olak2002158685|61127
46|Cena Maxe Broda|$$aCena Maxe Broda (soutěž)|61124
46|Cena Ferdinanda Peroutky|$$aCena Ferdinanda Peroutky (ocenění)|61124
45|Mezinárodní sympozium o Juliu Fučíkovi (sympozium) (1973 : Praha, Česko) OPRAVA UCL|$$aMezinárodní sympozium o Juliu Fučíkovi (sympozium)$$d(1973 :$$cPraha, Česko)|61124
45|Magnesia Litera (literární ceny) OPRAVA UCL|$$aMagnesia Litera (akce)$$7ko2007396129|61127
43|Jiráskovská akce|$$aJiráskovská akce (projekt)|61024
42|Cena Egona Hostovského OPRAVA UCL|$$aCena Egona Hostovského (ocenění)|61124
41|Státní cena za literaturu|$$aStátní cena za literaturu (ocenění)$$7ph891868|65007
41|Sjezd Svazu českých spisovatelů (2. : 1977 : Dobříš, Česko) OPRAVA UCL|$$aSvaz českých spisovatelů.$$bSjezd$$n(2. :$$d1977 :$$cDobříš, Česko)|61124
41|Literární cena Knižního klubu OPRAVA UCL|$$aLiterární cena Knižního klubu (soutěž)|61124
40|Měsíc české knihy OPRAVA UCL|$$aMěsíc české knihy (akce)|61124
40|Magnesia Litera OPRAVA UCL|$$aMagnesia Litera (akce)$$7ko2007396129|61127
39|Cena Jaroslava Seiferta (literární cena) OPRAVA UCL|$$aCena Jaroslava Seiferta (ocenění)|61124
38|Sjezd KSČ (sjezd) (15.) OPRAVA UCL|$$aKomunistická strana Československa.$$bSjezd$$n(15. :$$d1976 :$$cPraha, Česko)$$7ko2004263695|61127
38|Cena Josefa Jungmanna OPRAVA UCL|$$aCena Josefa Jungmanna (ocenění)|61124
38|Cena Jiřího Ortena (literární cena) OPRAVA UCL|$$aCena Jiřího Ortena (akce)$$7ko2008434948|61127
37|Cena Toma Stopparda|$$aCena Toma Stopparda (ocenění)|61124
35|Literární Františkovy Lázně OPRAVA UCL|$$aLiterární Františkovy Lázně (festival)|61124
35|Kniha v životě malého dítěte (17. : 1980 : Praha, Česko) OPRAVA UCL|$$aInternational Board on Books for Young People.$$bKongres$$n(17. :$$d1980 :$$cPraha, Česko)$$7ko2004251459|61127
33|Náprstkova cena|$$aMedaile Vojtěcha Náprstka (ocenění)|61124
33|Cena Jana Zahradníčka OPRAVA UCL|$$aCena Jana Zahradníčka (ocenění)|61124
33|Cena Františka Langera|$$aCena Františka Langera (soutěž)|61124
32|Cena Toma Stopparda OPRAVA UCL|$$aCena Toma Stopparda (ocenění)|61124
32|Cena F. X. Šaldy OPRAVA UCL|$$aCena F. X. Šaldy (ocenění)|61124
32|Cena Egona Erwina Kische OPRAVA UCL|$$aCena Egona Ervína Kische (akce)$$7pag2013792847|61127
30|Cena Evropské unie za literaturu|$$aEuropean Union Prize for Literature (ocenění)$$7ph560848|65007
29|Střety národních a univerzálních modelů v české kultuře 1800-1918 (konference) (2001 : České Budějovice, Česko) OPRAVA UCL|$$aStřety národních a univerzálních modelů v české kultuře 1800-1918 (konference)$$d(2001 :$$cČeské Budějovice, Česko)|61124
28|Sjezd KSČ (sjezd) (13. : 1966 : Praha, Česko) OPRAVA UCL|$$aKomunistická strana Československa.$$bSjezd$$n(13. :$$d1966 :$$cPraha, Česko)$$7ko2004263693|61127
28|Cena Unie českých spisovatelů|$$aCena Unie českých spisovatelů (ocenění)|61124
27|Sjezd Svazu československých spisovatelů (sjezd) (4. : 1967 : Praha, Česko) OPRAVA UCL|$$aSvaz československých spisovatelů.$$bSjezd$$n(4. :$$d1967 :$$cPraha, Česko)$$7olak2003164502|61127
27|Překladatelská soutěž Jiřího Levého|$$aPřekladatelská soutěž Jiřího Levého$$7av2016918311|61127
27|Konference o životě a díle Josefa Škvoreckého (2004 : Náchod, Česko)|$$aKonference o životě a díle Josefa Škvoreckého$$d(2004 :$$cPraha, Česko)$$7mzk2005304635|61127
26|Mezinárodní sjezd slavistů (7. : 1973 : Varšava, Polsko) OPRAVA UCL|$$aMezinárodní sjezd slavistů$$n(7. :$$d1973 :$$cVaršava, Polsko)|61124
25|Státní cena za překladatelské dílo OPRAVA UCL|$$aStátní cena za překladatelské dílo (ocenění)$$7ph891869|65007
25|Revoluční česká a slovenská literatura 20. a 30. let a literatura sovětská (konference) (1977 : Liblice, Česko) OPRAVA UCL|$$aRevoluční česká a slovenská literatura 20. a 30. let a literatura sovětská (konference)$$d(1977 :$$cLiblice, Česko)|61124
25|Prix Bohemia OPRAVA UCL|$$aPrix Bohemia (festival)$$7ko20201071038|61127
25|Magnesia Litera (cena) OPRAVA UCL|$$aMagnesia Litera (akce)$$7ko2007396129|61127
25|Cena Hanse Christiana Andersena|$$aCena Hanse Christiana Andersena (ocenění)$$7ph683981|65007
24|Tvárnice (literární cena)|$$aTvárnice (soutěž)|61124
24|Cena Karla Havlíčka Borovského|$$aCena Karla Havlíčka Borovského (ocenění)|61124
23|Fučíkův odznak|$$aFučíkův odznak (ocenění)|61124
23|Cena Jana Palacha|$$aCena Jana Palacha (ocenění)|61124
22|Templetonova cena|$$aTempletonova cena (ocenění)|61124
22|Magnesia Litera (akce) (2019 : Praha, Česko)|$$aMagnesia Litera (akce)$$d(2019 :$$cPraha, Česko)$$7ko20191047235|61127
22|Kongres Mezinárodního sdružení výtvarných kritiků AICA (kongres) (9. : 1966 : Praha, Česko; Bratislava, Slovensko)|$$aInternational Association of Art Critics.$$bCongress$$n(9. :$$d1966 :$$cPraha, Česko;$$cBratislava, Slovensko)$$7ko20181017984|61127
22|Festival spisovatelů (Praha, Česko) OPRAVA UCL|$$aFestival spisovatelů Praha$$7kn20051121006|61127
22|Cena Vladislava Vančury|$$aCena Vladislava Vančury (ocenění)|61124
22|Cena Knižního klubu|$$aLiterární cena Knižního klubu (soutěž)|61124
21|Ustavující sjezd Svazu českých spisovatelů (sjezd) (1972 : Dobříš, Česko) OPRAVA UCL|$$aSvaz českých spisovatelů.$$bUstavující sjezd$$d(1972 :$$cDobříš, Česko) |61124
21|Ustavující sjezd Svazu československých spisovatelů (1977 : Praha, Česko) OPRAVA UCL|$$aSvaz československých spisovatelů.$$bUstavující sjezd$$d(1977 :$$cPraha, Česko) |61124
21|Týden české knihy|$$aTýden české knihy (projekt)|61124
21|Státní cena za literaturu (literární cena) OPRAVA UCL|$$aStátní cena za literaturu (ocenění)$$7ph891868|65007
21|Sjezd socialistické kultury (1959 : Praha, Česko)|$$aSjezd socialistické kultury$$d(1959 :$$cPraha, Česko) |61124
21|Ceny divadelní kritiky|$$aCeny divadelní kritiky (soutěž)|61124
21|Cena Muriel|$$aCena Muriel (soutěž)|61124
21|Cena Ministerstva kultury|$$aCena Ministerstva kultury (ocenění)|61124
21|Cena Egona Hostovského|$$aCena Egona Hostovského (ocenění)|61124
21|Cena Antonína Zápotockého OPRAVA UCL|$$aCena Antonína Zápotockého (ocenění)|61124
21|Bezručova Opava OPRAVA UCL|$$aBezručova Opava (festival)$$7ko2005304095|61127
