Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Aachen (Spolková republ. Německo);;Cáchy (Německo)$$7ge134535;Cáchách;Cáchychy;Německo$$7ge135889;Spolková republ. Německo;Aachen;Cáchy;NEPRAVDA
Adelsdorf (Šumperk);1;Adolfovice (Bělá pod Pradědem, Česko)$$7ge731315;;;;Šumperk;Adelsdorf;Adolfovice;NEPRAVDA
Aichen (Olomouc);1;Dubová Lhota (Janovice nad Úhlavou, Česko)$$7ge665706;;;;Olomouc;Aichen;Dubová Lhota;NEPRAVDA
Albertamy (Karlovy Vary);1;Abertamy (Česko)$$7ge128632;;;;Karlovy Vary;Albertamy;Abertamy;NEPRAVDA
Albrechtice (Bruntál);3;Albrechtice u Rýmařova (Břidličná, Česko)$$7ge799962;;;;Bruntál;Albrechtice;Albrechtice u Rýmařova;NEPRAVDA
Algersdorf (Děčín);2;Valkeřice (Česko)$$7ge375994;;;;Děčín;Algersdorf;Valkeřice;NEPRAVDA
Altdorf (Spolková republ. Německo);2;Altdorf bei Nürnberg (Německo)$$7ge877267;;;;Spolková republ. Německo;Altdorf;Altdorf bei Nürnberg;NEPRAVDA
Althabendorf (Liberec);1;Stráž nad Nisou (Česko)$$7ge137387;;;;Liberec;Althabendorf;Stráž nad Nisou;NEPRAVDA
Altohlisch (Děčín);1;Stará Oleška (Huntířov, Děčín, Česko)$$7ge130932;;;;Děčín;Altohlisch;Stará Oleška;NEPRAVDA
Altrohlau (Karlovy Vary);3;Stará Role (Karlovy Vary, Česko)$$7ge306995;;;;Karlovy Vary;Altrohlau;Stará Role;NEPRAVDA
Amsterodam (Holandsko);3;Amsterdam (Nizozemsko)$$7ge128661;;;;Holandsko;Amsterodam;Amsterdam;NEPRAVDA
Antoniwald (Jablonec nad Nisou);1;Antonínov (Josefův Důl, Jablonec nad Nisou, Česko)$$7xx0069082;xx;;;Jablonec nad Nisou;Antoniwald;Antonínov;NEPRAVDA
Arnsdorf (Česká Lípa);2;Arnultovice (Nový Bor, Česko)$$7xx0069084;;;;Česká Lípa;Arnsdorf;Arnultovice;NEPRAVDA
Asch (Cheb);1;Aš (Česko)$$7ge128699;;;;Cheb;Asch;Aš;NEPRAVDA
Aš-Vernéřov (Cheb);1;Vernéřov (Aš, Česko)$$7ge351150;;;;Cheb;Aš-Vernéřov;Vernéřov;NEPRAVDA
Augspurg (Spolková republ. Německo);1;Augsburg (Německo)$$7ge134035;;;;Spolková republ. Německo;Augspurg;Augsburg;NEPRAVDA
Augšpurk (Spolková republ. Německo);1;Augsburg (Německo)$$7ge134035;;;;Spolková republ. Německo;Augšpurk;Augsburg;NEPRAVDA
Auherzen (Plzeň sever);1;Úherce (Plzeň-sever, Česko)$$7ge325734;;;;Plzeň sever;Auherzen;Úherce;NEPRAVDA
Aurženoves=Uhřiněves (Praha - východ);1;Uhříněves (Praha, Česko)$$7ge137195;;;;Praha - východ;Aurženoves=Uhřiněves;Uhříněves;NEPRAVDA
Auspitz (Břeclav);1;Hustopeče (Česko)$$7ge129368;;;;Břeclav;Auspitz;Hustopeče;NEPRAVDA
Aussig (Ústí nad Labem);7;Ústí nad Labem (Česko)$$7ge131764;;;;Ústí nad Labem;Aussig;Ústí nad Labem;NEPRAVDA
Baden bei Wien (Rakousko);2;Baden (Rakousko)$$7ge397042;;;;Rakousko;Baden bei Wien;Baden;NEPRAVDA
