A - ALMANACH AUTORŮ;http://slovnikceskeliteratury.cz/showContent.jsp?docId=52;1990 - 1992;;;
ACTA;http://slovnikceskeliteratury.cz/showContent.jsp?docId=53;1987 - 1989;;;
ADAM, Jan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=346;* 18. 9. 1946;Praha;;
ADLA, Zdeněk;http://slovnikceskeliteratury.cz/showContent.jsp?docId=667;* 1. 6. 1910;Záryby (u Brandýsa nad Labem);† 29. 8. 1990;Praha
ADLOVÁ, Věra;http://slovnikceskeliteratury.cz/showContent.jsp?docId=668;* 22. 7. 1919;Praha;† 28. 7. 1999;Praha
AJVAZ, Michal;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1204;* 30. 10. 1949;Praha;;
AKORD (1);http://slovnikceskeliteratury.cz/showContent.jsp?docId=54;1928 - 1944; 1945 - 1948;;;
AKORD (2);http://slovnikceskeliteratury.cz/showContent.jsp?docId=55;1989 - 1997; 2002 - 2011;;;
AKROPOLIS – FILIP TOMÁŠ;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1841;2003 - (dosud);;;
AKROPOLIS – JIŘÍ TOMÁŠ;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1840;1990 - (dosud);;;
AKT;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1699;1974 - 1977;;;
AKTIV;http://slovnikceskeliteratury.cz/showContent.jsp?docId=56;1946 - 1946;;;
ALBATROS;http://slovnikceskeliteratury.cz/showContent.jsp?docId=57;1974 - 1990;;;
ALBATROS;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1664;1949 - (dosud);;;
ALBERTOVÁ, Helena;http://slovnikceskeliteratury.cz/showContent.jsp?docId=244;* 1. 9. 1941;Praha;;
ALBRECHTOVÁ, Blanka;http://slovnikceskeliteratury.cz/showContent.jsp?docId=906;* 7. 1. 1951;Hradec Králové;;
ALDA, Jan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=669;* 26. 2. 1901;Praha;† 30. 10. 1970;Praha
ALMANACH KLUBU ČTENÁŘŮ;http://slovnikceskeliteratury.cz/showContent.jsp?docId=58;1961 - 1962;;;
ALMANACH KMENE;http://slovnikceskeliteratury.cz/showContent.jsp?docId=59;1930 - 1937; 1948 - 1948;;;
ALMANACH Q;http://slovnikceskeliteratury.cz/showContent.jsp?docId=60;1970 - 1970; 1991;;;
ALTERNATIVA;http://slovnikceskeliteratury.cz/showContent.jsp?docId=62;1994 - 2004;;;
ALUZE;http://slovnikceskeliteratury.cz/showContent.jsp?docId=248;1996 - (dosud);;;
ANALOGON;http://slovnikceskeliteratury.cz/showContent.jsp?docId=63;1969 - 1969; 1990 - (dosud);;;
ANDRENIK, Ivan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1617;* 2. 11. 1921;Neveklov;† 5. 9. 1998;Praha
ANDRONIKOVA, Hana;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1346;* 9. 9. 1967;Gottwaldov (nyní Zlín);† 20. 12. 2011;Praha
ANTOŠOVÁ, Svatava;http://slovnikceskeliteratury.cz/showContent.jsp?docId=905;* 3. 6. 1957;Teplice;;
ARGO;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1900;1992 - (dosud);;;
ARCH;http://slovnikceskeliteratury.cz/showContent.jsp?docId=64;1969 - 1969;;;
ARCHA (1);http://slovnikceskeliteratury.cz/showContent.jsp?docId=66;1912 - 1941; 1945 - 1948;;;
ARCHA (2);http://slovnikceskeliteratury.cz/showContent.jsp?docId=67;1958 - 1963;;;
ARCH A5;http://slovnikceskeliteratury.cz/showContent.jsp?docId=65;1988 - 1989;;;
ARCHY;http://slovnikceskeliteratury.cz/showContent.jsp?docId=68;1926 - 1941; 1945 - 1948;;;
ARKÝŘ;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1698;1980 - 2000;;;
ARTIA;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1821;1953 - 1990;;;
AŠKENAZY, Ludvík;http://slovnikceskeliteratury.cz/showContent.jsp?docId=246;* 24. 2. 1921;Český Těšín;† 18. 3. 1986;Bolzano (Itálie)
atd...;http://slovnikceskeliteratury.cz/showContent.jsp?docId=69;1990 - 1990;;;
AUGUSTA, Josef;http://slovnikceskeliteratury.cz/showContent.jsp?docId=271;* 17. 3. 1903;Boskovice;† 4. 2. 1968;Praha
